epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7539,3.08767,5.66924,1.59974,0.00338,0.51613,0.29786,0.14394,2.57876,4.8734,1.44189,0.00010003,0.00010003,0.00010003
2,56.6331,2.5353,4.06424,1.3202,0.00255,0.48387,0.30104,0.15364,2.07195,4.52447,1.39936,0.000210106,0.000210106,0.000210106
3,79.0983,2.34831,3.2607,1.34754,0.00142,0.36559,0.245,0.13907,2.08068,4.38686,1.39851,0.000315655,0.000315655,0.000315655
4,101.486,2.10716,2.68496,1.2397,0.00149,0.37634,0.28306,0.14385,1.89389,4.26012,1.39302,0.000416676,0.000416676,0.000416676
5,124.245,1.95129,2.68201,1.2252,0.00246,0.47312,0.30594,0.17044,1.69145,4.09976,1.37549,0.000513171,0.000513171,0.000513171
6,146.663,1.99899,2.34983,1.24487,0.00431,0.63441,0.43907,0.25567,1.81212,4.05337,1.34156,0.000605139,0.000605139,0.000605139
7,169.21,1.91517,2.2737,1.19962,0.00417,0.66667,0.43823,0.25805,1.8633,3.92919,1.3508,0.000692579,0.000692579,0.000692579
8,192.092,1.82128,2.0942,1.17407,0.00468,0.70968,0.59604,0.31936,1.73256,3.66932,1.32094,0.000775493,0.000775493,0.000775493
9,214.492,1.82303,2.15253,1.13764,0.00784,0.92473,0.74772,0.40745,1.84517,3.61468,1.34171,0.000853879,0.000853879,0.000853879
10,236.856,1.81408,2.01426,1.13767,0.88165,0.61755,0.89088,0.46692,1.86529,3.0961,1.40339,0.000927738,0.000927738,0.000927738
11,260.381,1.69847,2.00032,1.10922,0.99813,0.50876,0.91046,0.49274,1.75743,2.80994,1.27542,0.00099707,0.00099707,0.00099707
12,282.833,1.67372,1.94893,1.11307,0.8344,0.66735,0.84385,0.46887,1.70309,2.60643,1.31465,0.00106188,0.00106188,0.00106188
13,305.655,1.65284,1.85589,1.07799,0.86804,0.94624,0.94126,0.58266,1.51607,2.05377,1.2185,0.00108947,0.00108947,0.00108947
14,328.185,1.74685,1.90153,1.06866,0.84495,0.79391,0.84456,0.43221,1.8912,2.33087,1.20627,0.00106118,0.00106118,0.00106118
15,350.439,1.68403,1.85757,1.04709,0.79021,0.9105,0.84353,0.46798,1.69571,2.12597,1.23773,0.00103288,0.00103288,0.00103288
16,373.019,1.59656,1.77775,1.02917,0.76433,0.87208,0.8355,0.49839,1.5889,1.84509,1.15422,0.00100459,0.00100459,0.00100459
17,395.434,1.55137,1.57038,1.03437,0.84508,0.92548,0.94366,0.48341,1.74813,1.66288,1.18944,0.000976293,0.000976293,0.000976293
18,417.536,1.54189,1.61418,1.01195,0.94668,0.92946,0.95145,0.47329,1.90407,1.63711,1.1974,0.000947999,0.000947999,0.000947999
19,440.232,1.64363,1.62884,1.00211,0.83699,0.90323,0.90378,0.50458,1.79397,1.60533,1.14757,0.000919704,0.000919704,0.000919704
20,462.452,1.5781,1.55914,1.001,0.83043,0.93921,0.9381,0.59185,1.4881,1.56864,1.16976,0.00089141,0.00089141,0.00089141
21,484.61,1.54774,1.52842,0.9785,0.82214,0.94624,0.93642,0.54574,1.58667,1.53387,1.16051,0.000863116,0.000863116,0.000863116
22,507.173,1.55135,1.55967,0.97692,0.84736,0.96774,0.92243,0.53146,1.63783,1.53709,1.13129,0.000834822,0.000834822,0.000834822
23,529.612,1.5108,1.5143,0.95412,0.88904,0.96406,0.96122,0.58292,1.39874,1.48827,1.13831,0.000806528,0.000806528,0.000806528
24,551.68,1.53618,1.43551,0.96083,0.90582,1,0.97955,0.57806,1.49666,1.46618,1.12442,0.000778233,0.000778233,0.000778233
25,574.235,1.5249,1.46603,0.96957,0.9527,1,0.99318,0.62948,1.36862,1.35052,1.13605,0.000749939,0.000749939,0.000749939
26,596.553,1.47786,1.37426,0.95218,0.93367,0.9447,0.94081,0.56789,1.44326,1.36474,1.12008,0.000721645,0.000721645,0.000721645
27,618.755,1.49621,1.43845,0.96499,0.94636,0.96947,0.97834,0.55705,1.4745,1.33308,1.08598,0.000693351,0.000693351,0.000693351
28,641.217,1.53627,1.43459,0.93357,0.92465,0.98528,0.97252,0.536,1.58023,1.37182,1.06574,0.000665057,0.000665057,0.000665057
29,663.309,1.46412,1.43438,0.93203,0.91752,0.98002,0.97721,0.56768,1.42627,1.33218,1.05384,0.000636762,0.000636762,0.000636762
30,685.47,1.4089,1.34458,0.92188,0.91288,0.96331,0.97313,0.5749,1.48685,1.29411,1.06761,0.000608468,0.000608468,0.000608468
31,708.194,1.41459,1.30372,0.93107,0.93997,1,0.98936,0.58552,1.49351,1.25771,1.03465,0.000580174,0.000580174,0.000580174
32,730.181,1.36049,1.3638,0.92739,0.96198,1,0.995,0.65824,1.31643,1.24061,1.04095,0.00055188,0.00055188,0.00055188
33,752.284,1.32132,1.32796,0.91262,0.9625,0.99999,0.99469,0.67173,1.22226,1.21857,1.06233,0.000523586,0.000523586,0.000523586
34,774.983,1.40977,1.31603,0.91285,0.95778,0.99611,0.99333,0.64344,1.31693,1.13778,1.03564,0.000495291,0.000495291,0.000495291
